Disease,Symptoms
COPD,"Wheezing, linked to moderate difficulty breathing, significant chest tightness, hyperinflated lungs, during activity difficulty completing sentences, decreased breath sounds, during activity swollen ankles, constant."
Lung Cancer,"Persistent cough simultaneous with chest pain related to hoarseness simultaneous with shortness of breath (characteristically progressive), continuous."
Tuberculosis,"Severe persistent cough (significantly moderate), coinciding with severe weight loss, fatigue, significant anemia symptoms."
Lung Cancer,"Initially presenting with persistent cough, coughing up blood, chest pain, Later developing neck swelling, shortness of breath, unexplained fever."
Lung Cancer,"Coughing up blood, worsening persistent cough, debilitating shortness of breath, debilitating weight loss, horner's syndrome, weakness, debilitating deep vein thrombosis, fatigue, unresolved."
Heart Failure,"Initially presenting with weight gain from fluid, swollen ankles, fatigue, Later developing rapid heartbeat, shortness of breath, heart palpitations."
Tuberculosis,"Coughing up blood, related to night sweats, persistent cough, fever, blood in mucus, malaise."
Pleural Effusion,"Severe asymmetrical chest expansion with mild shortness of breath, difficulty breathing when lying down, fever, inability to lie flat, paroxysmal."
COVID-19 Pneumonia,"Initially presenting with myalgia, ageusia, fatigue, Eventually developing loss of smell."
Tuberculosis,"Mild fever, coinciding with severe night sweats, coughing up blood, severe pleural effusion, severe fatigue, cyclical, impairing functional capacity."
Heart Failure,"Severe swollen legs, fatigue, swollen ankles, S3 heart sound with mild shortness of breath, edema."
Pleural Effusion,"Initially presenting with decreased breath sounds, chest pain, shortness of breath, Eventually developing respiratory distress, dry cough, pleural friction rub."
Heart Failure,"Severe rapid heartbeat, swollen legs, fatigue, loss of appetite, liver enlargement, chest congestion, difficulty breathing when lying down with mild shortness of breath, heart palpitations, constraining movement."
Lung Cancer,"Initially presenting with clubbing of fingertips, chest wall pain, weakness, Subsequently developing coughing up blood, pleural effusion, chest pain, impairing functional capacity."
COPD,Shortness of breath and use of accessory muscles for breathing together with unexplained weight loss and persistent cough coupled with wheezing and difficulty breathing (commonly end-stage) in conjunction with barrel chest and prolonged expiration (commonly mild).
Pneumothorax,"Immediately after injury, acute shortness of breath, stabbing rapid breathing, frequently intense sudden sharp chest pain, racing heart rate, markedly stabbing hyperresonance, acute chest tightness, intense hypoxemia."
Pneumonia,"Initially presenting with green phlegm, shortness of breath, productive cough, Later developing shallow breathing, decreased oxygen levels, fever."
Lung Cancer,"Insidious onset, life-limiting chest pain, worsening persistent cough, generally worsening weight loss, characteristically life-limiting coughing up blood, generally severe unexplained anemia, generally severe deep vein thrombosis, markedly severe horner's syndrome, aggravated by coughing."
Pneumothorax,"Initially presenting with shortness of breath, dry cough, rapid breathing, Later developing racing heart rate, asymmetrical chest movement."
COPD,"Worsening with exertion wheezing (clearly chronic), in combination with chronic persistent cough, chronic shortness of breath, worsening with exertion difficulty breathing, chronic chest tightness, worsening with exertion decreased breath sounds, barrel chest, fatigue, recurring pneumonia, worsened by pollution."
COPD,"Progressive, chronic persistent cough, commonly chronic wheezing, shortness of breath, acute exacerbation frequent respiratory infections."
Pleural Effusion,"Pleurisy, decreased chest movement and hiccups (significantly massive) in combination with rapid breathing, difficulty breathing when lying down and shortness of breath (mainly minimal) in combination with dry cough, chest pain and fever, relapsing, precipitated by allergens."
Lung Cancer,"Severe coughing up blood, shortness of breath, unexplained anemia with mild wheezing, hoarseness, fatigue, pleural effusion."
COPD,"Acute exacerbation persistent cough, together with chest tightness, acute exacerbation wheezing, shortness of breath, acute exacerbation decreased breath sounds, fatigue, significant use of accessory muscles for breathing."
Pneumonia,"Initially presenting with wheezing, cough, malaise, Subsequently developing productive cough, loss of appetite, cyanosis."
COVID-19 Pneumonia,"Shortness of breath coupled with bilateral lung involvement concurrent with ground glass opacities on imaging linked to loss of smell together with cytokine storm (apparently progressive), worse when lying down."
COVID-19 Pneumonia,"Severe chills, COVID toes with mild loss of taste, loss of smell, fatigue, rapid deterioration, post-exertional malaise, bluish lips."
Pneumothorax,"Blue discoloration of skin, decreased tactile fremitus and unilateral chest pain accompanied by hypoxemia, hyperresonance and sudden sharp chest pain (significantly significant) simultaneous with shortness of breath, racing heart rate and reduced chest movement on affected side, worse at night."
COPD,"Initially presenting with persistent cough, difficulty breathing, chest tightness, Eventually developing difficulty completing sentences, wheezing."
Pneumothorax,"Iatrogenic, especially sudden racing heart rate, severe rapid breathing, remarkably sharp shortness of breath, strikingly severe chest pressure, especially sharp asymmetrical chest movement."
COPD,Persistent cough in conjunction with chest tightness connected with use of accessory muscles for breathing related to shortness of breath (particularly worsening with exertion).
Heart Failure,"Debilitating swollen ankles, in conjunction with debilitating shortness of breath, significant swollen legs, significant rapid heartbeat, fatigue, liver enlargement, jugular vein distention, significant reduced exercise tolerance, significant edema, escalated during sleep."
COPD,"Initially presenting with unexplained weight loss, chest tightness, shortness of breath, Subsequently developing decreased exercise tolerance, difficulty breathing, wheezing, reducing stamina."
Lung Cancer,"Shortness of breath, chest pain, persistent persistent cough, coughing up blood, persistent difficulty swallowing, chronic."
COVID-19 Pneumonia,"Critical dry cough, accompanied by loss of taste, critical fever, loss of smell, severe fatigue, myalgia, silent hypoxemia, critical multi-organ dysfunction, post-exertional malaise, periodic, heightened by position changes."
Pleural Effusion,"Mild difficulty breathing when lying down, minimal chest pain, minimal shortness of breath, minimal asymmetrical chest expansion, night sweats, pleuritic pain, worsening tracheal deviation, cough on exertion."
Lung Cancer,"Steadily progressing, extreme shortness of breath, generally extreme weight loss, markedly extreme coughing up blood, markedly extreme chest pain, markedly extreme persistent cough, apparently persistent weakness, apparently extreme horner's syndrome, apparently unexplained bone pain, disrupting sleep."
Lung Cancer,"Initially presenting with weight loss, chest pain, shortness of breath, Later developing facial swelling, persistent cough, difficulty swallowing."
Pleural Effusion,"Increasing fever, mild chest pain, mild difficulty breathing when lying down, dry cough, mild pleuritic pain, dyspnea, mild reduced tactile fremitus, increasing rapid heart rate, rapid breathing, increasing tracheal deviation."
Pneumothorax,"Initially presenting with anxiety, rapid breathing, hypotension, Finally developing chest tightness, racing heart rate, sudden sharp chest pain."
COPD,"Severe chest tightness, persistent cough with mild difficulty breathing, wheezing, recurring pneumonia."
